position,player,x,y,cluster,league,age,dominant_foot
DF,Timothee Pembele,22.705297,2.2343805,2,Ligue 1,18,90% right footed
DF,Mathias Pereira Lage,29.785227,3.1873915,1,Ligue 1,24,85% right footed
DF,Ricardo Pereira,14.421356,-12.103702,2,Premier League,27,86% right footed
DF,Luan Peres Petroni,3.0631049,7.656357,3,Ligue 1,27,91% left footed
DF,Nehuén Pérez,0.41480684,-4.742789,2,Serie A,21,79% right footed
DF,Ivan Perišić,30.382017,-2.7739372,1,Serie A,32,61% right footed
DF,Romain Perraud,11.649883,-3.71128,2,Premier League,23,93% left footed
DF,Lucas Perrin,-3.3985205,9.743348,3,Ligue 1,22,89% right footed
DF,Léo Pétrot,-15.470327,1.0950135,0,Ligue 1,24,85% left footed
DF,Germán Pezzella,-21.39429,-4.4192567,0,La Liga,30,83% right footed
DF,Giuseppe Pezzella,17.525326,-3.7970595,2,Serie A,23,85% left footed
DF,Amos Pieper,-17.151937,-4.95813,0,Bundesliga,23,83% right footed
DF,Ronaël Pierre-Gabriel,6.229872,-6.9796314,2,Ligue 1,23,96% right footed
DF,Ethan Pinnock,-17.147144,-8.132519,0,Premier League,28,89% left footed
DF,Gerard Piqué,-8.338568,15.831429,3,La Liga,34,94% right footed
DF,Marvin Plattenhardt,30.983448,-8.730143,1,Bundesliga,29,94% left footed
DF,Stefan Posch,-3.146762,2.3611767,3,Bundesliga,24,86% right footed
DF,Quini,6.2611737,-9.349513,2,La Liga,31,85% right footed
DF,Ivan Radovanović,-19.807045,7.217058,0,Serie A,32,86% right footed
DF,Antonio Raillo,-19.189941,0.99607736,0,La Liga,29,83% right footed
DF,Adil Rami,-21.941872,3.3119802,0,Ligue 1,35,88% right footed
DF,Guilherme Ramos,-8.575945,-6.1763406,0,Bundesliga,23,90% right footed
DF,Luca Ranieri,10.559235,3.0221374,2,Serie A,22,91% left footed
DF,David Raum,32.83697,-5.162226,1,Bundesliga,23,91% left footed
DF,Arkadiusz Reca,13.207786,-1.5579507,2,Serie A,26,75% left footed
DF,Sergio Reguilón,25.9942,1.0313835,1,Premier League,24,92% left footed
DF,Karim Rekik,1.52148,6.821863,0,La Liga,26,82% left footed
DF,Diego Rico,17.087294,-9.151181,2,La Liga,28,94% left footed
DF,Renaud Ripart,29.690504,4.5283933,2,Ligue 1,28,73% right footed
DF,Mihailo Ristić,18.554066,-5.4255853,2,Ligue 1,25,82% left footed
DF,Matt Ritchie,20.282383,2.1932368,1,Premier League,31,80% left footed
DF,Rober,-8.381636,-1.0190426,0,La Liga,26,83% right footed
DF,Connor Roberts,9.906794,3.3038256,0,Premier League,25,91% right footed
DF,Andrew Robertson,29.724289,-6.5625095,1,Premier League,27,93% left footed
DF,Enzo Roco,-18.697767,-0.5052064,0,La Liga,28,87% right footed
DF,Stian Rode Gregersen,-1.5205681,-6.0047555,0,Ligue 1,26,92% right footed
DF,Ricardo Rodríguez,-2.879519,9.483731,2,Serie A,28,74% left footed
DF,Mads Roerslev,10.128379,4.955111,2,Premier League,22,95% right footed
DF,Rogério,21.00009,0.519651,1,Serie A,23,91% left footed
DF,Alessio Romagnoli,-10.513377,8.304417,3,Serie A,26,86% left footed
DF,Simone Romagnoli,-16.236183,-6.4493003,0,Serie A,31,84% right footed
DF,Cristian Romero,-1.1153334,1.9472524,2,Premier League,23,95% right footed
DF,Valentin Rongier,17.456718,-15.760581,2,Ligue 1,26,81% right footed
DF,Marten de Roon,0.9331199,-0.3201434,2,Serie A,30,83% right footed
DF,Jérôme Roussillon,12.839667,1.2652142,2,Bundesliga,28,90% left footed
DF,Amir Rrahmani,-19.918512,9.705187,3,Serie A,27,90% right footed
DF,Antonio Rüdiger,-5.963679,16.81542,3,Premier League,28,72% right footed
DF,Mário Rui,23.293024,-6.8623157,1,Serie A,30,88% left footed
DF,Víctor Ruiz,-16.77831,11.640787,3,La Liga,32,79% left footed
DF,Franco Russo,-18.988747,-2.4829865,0,La Liga,26,88% right footed
DF,Julian Ryerson,25.86734,2.3956547,1,Bundesliga,23,89% right footed
DF,Marcel Sabitzer,27.363802,-8.621594,1,Bundesliga,27,83% right footed
