position,player,x,y,cluster,league,age,dominant_foot
MF,Manuel Lanzini,-4.2492614,-5.4289403,0,Premier League,28,91% right footed
MF,Kevin Lasagna,12.493846,-6.901212,1,Serie A,28,82% left footed
MF,Armand Lauriente,12.008121,-1.6772933,1,Ligue 1,22,90% right footed
MF,Enzo Le Fée,-2.1776812,-7.9469404,0,Ligue 1,21,88% right footed
MF,Pierre Lees-Melou,-7.2898088,1.9483461,3,Premier League,28,84% right footed
MF,Lucas Leiva,-15.589935,6.579887,3,Serie A,34,86% right footed
MF,Thomas Lemar,18.606102,4.8412275,2,La Liga,25,84% left footed
MF,Mario Lemina,-16.343891,2.3683908,3,Ligue 1,27,86% right footed
MF,Fabien Lemoine,-17.954617,1.5863498,3,Ligue 1,34,90% right footed
MF,Aaron Lennon,-1.0217315,5.226387,1,Premier League,34,90% right footed
MF,Dimitri Liénard,3.806861,-4.5178757,0,Ligue 1,33,84% left footed
MF,Jesper Lindstrøm,13.065042,-4.688435,1,Bundesliga,21,85% right footed
MF,Karol Linetty,-1.3621769,4.1936493,1,Serie A,26,64% right footed
MF,Pol Lirola,8.78824,4.4168105,0,Ligue 1,23,97% right footed
MF,Dejan Ljubicic,4.339429,-6.875027,1,Bundesliga,23,90% right footed
MF,Marcos Llorente,-2.880041,8.362871,3,La Liga,26,94% right footed
MF,Giovani Lo Celso,15.029487,6.491752,0,La Liga,25,89% left footed
MF,Stanislav Lobotka,-13.352624,-0.42823705,3,Serie A,26,91% right footed
MF,Manuel Locatelli,-8.666122,-0.13624215,0,Serie A,23,79% right footed
MF,Banzouzi Locko,-8.143885,-6.5370183,0,Ligue 1,19,72% left footed
MF,Ruben Loftus-Cheek,-6.6335163,-5.564437,0,Premier League,25,92% right footed
MF,Sean Longstaff,-20.509193,6.9515443,3,Premier League,23,80% right footed
MF,Ademola Lookman,6.437523,-8.457867,1,Premier League,23,78% right footed
MF,Maxime Lopez,-13.635283,-3.427267,0,Serie A,23,88% right footed
MF,Unai López,-4.4612837,-3.2104468,0,La Liga,25,94% right footed
MF,Dion Lopy,-20.760342,6.0393662,3,Ligue 1,19,85% right footed
MF,Anthony Losilla,-17.119368,11.682716,3,Bundesliga,35,86% right footed
MF,Imran Louza,-17.74703,3.9385083,3,Premier League,22,80% left footed
MF,Eduard Löwen,3.4558768,-7.668674,0,Bundesliga,24,86% right footed
MF,Anthony Lozano,13.848366,-10.119956,1,La Liga,28,88% right footed
MF,Jean Lucas,-8.038384,-9.760649,0,Ligue 1,23,92% right footed
MF,Florentino Luís,-18.453922,6.563761,3,La Liga,21,90% right footed
MF,José Luis Morales,17.43982,-3.7882948,2,La Liga,34,78% right footed
MF,Douglas Luiz,-6.513024,3.7741907,3,Premier League,23,90% right footed
MF,Saša Lukić,-5.7250805,-1.7671623,0,Serie A,24,81% right footed
MF,Alexis Mac Allister,-0.72201174,-11.3053875,0,Premier League,22,87% right footed
MF,Darwin Machís,11.343097,1.1713238,1,La Liga,28,83% right footed
MF,James Maddison,18.172304,-2.17572,2,Premier League,24,89% right footed
MF,Giulio Maggiore,-5.627784,4.078239,3,Serie A,23,85% right footed
MF,Hugo Magnetti,-18.42715,4.8672957,3,Ligue 1,23,86% right footed
MF,Yohann Magnin,-19.535456,7.187728,3,Ligue 1,24,94% right footed
MF,Arne Maier,0.28683954,0.57967436,1,Bundesliga,22,90% right footed
MF,Habib Maïga,-20.296486,6.2530494,3,Ligue 1,25,89% right footed
MF,Lovro Majer,17.584152,4.588976,2,Ligue 1,23,89% left footed
MF,Jean-Victor Makengo,3.6469257,2.2003298,1,Serie A,23,90% left footed
MF,Nemanja Maksimović,-8.283668,11.188505,3,La Liga,26,89% right footed
MF,Youssef Maleh,1.6712933,-10.480043,1,Serie A,22,85% left footed
MF,Ruslan Malinovskyi,20.729824,3.0209823,2,Serie A,28,87% left footed
MF,Mickael Malsa,-17.158007,4.864079,3,La Liga,25,89% right footed
MF,Rolando Mandragora,-2.3966596,-0.45716208,0,Serie A,24,83% left footed
MF,Orel Mangala,4.1418934,2.1510763,1,Bundesliga,23,83% right footed
MF,Thomas Mangani,-9.57645,-0.5021615,3,Ligue 1,34,80% left footed
MF,Maranhão,11.597892,-8.829123,1,La Liga,24,89% right footed
MF,Răzvan Marin,-0.24552639,-0.59586185,0,Serie A,25,88% right footed
MF,Omar Marmoush,14.704975,-5.056419,1,Bundesliga,22,91% right footed
MF,Jonas Martin,-10.435181,5.8873906,3,Ligue 1,31,87% right footed
MF,Martinelli,15.794956,-3.9804304,1,Premier League,20,90% right footed
MF,Gelson Martins,5.6775484,-8.573529,1,Ligue 1,26,90% right footed
MF,Omar Mascarell,-9.887206,10.583884,3,La Liga,28,82% right footed
MF,Pape Matar Sarr,-5.3019185,2.3567877,3,Ligue 1,18,89% right footed
MF,Nemanja Matić,-14.548569,-2.7455447,0,Premier League,32,84% left footed
MF,Azor Matusiwa,-15.585478,7.977431,3,Ligue 1,23,82% right footed
MF,Stephy Mavididi,13.960717,-8.7613735,1,Ligue 1,23,83% right footed
MF,Nathanael Mbuku,8.401498,-9.510982,1,Ligue 1,19,89% left footed
MF,James McArthur,-13.34468,3.9864361,3,Premier League,33,77% right footed
MF,John McGinn,1.973776,-5.2341433,0,Premier League,26,85% left footed
MF,Weston McKennie,-0.863888,2.8290467,1,Serie A,22,80% right footed
MF,Kenny McLean,-8.048891,10.014682,3,Premier League,29,83% left footed
MF,Dwight McNeil,7.8052917,3.3347335,1,Premier League,21,96% left footed
MF,Scott McTominay,-10.606089,4.195848,3,Premier League,24,95% right footed
MF,Filippo Melegoni,3.423232,-9.080164,0,Serie A,22,86% right footed
MF,Óscar Melendo,2.3996563,2.0911036,1,La Liga,23,88% left footed
MF,Gonzalo Melero,0.46247688,8.564654,1,La Liga,27,91% right footed
MF,Arthur Melo,-13.215637,0.5484143,3,Serie A,24,95% right footed
MF,Thiago Mendes,-14.783388,-1.1987957,3,Ligue 1,29,89% right footed
MF,Brais Méndez,-2.6904497,-4.764186,0,La Liga,24,88% left footed
MF,Édgar Méndez,6.3499937,5.6189394,1,La Liga,31,80% right footed
MF,Batista Mendy,-10.71013,7.8080354,3,Ligue 1,21,88% right footed
MF,Nampalys Mendy,-9.5358715,8.608426,3,Premier League,29,91% right footed
MF,Mikel Merino,-8.561292,-0.11954665,0,La Liga,25,89% left footed
MF,Dries Mertens,17.533417,-5.777038,2,Serie A,34,92% right footed
MF,Lionel Messi,22.34767,4.002111,2,Ligue 1,34,91% left footed
MF,Junior Messias,12.276255,-3.6563435,1,Serie A,30,89% left footed
MF,Sergej Milinković-Savić,-1.4952796,-2.8337898,2,Serie A,26,82% right footed
MF,Luis Milla,-5.4724536,-2.1515272,0,La Liga,26,90% right footed
MF,Pere Milla,11.182478,-11.8202915,1,La Liga,28,75% left footed
MF,Henrikh Mkhitaryan,-2.0832093,-3.9355178,0,Serie A,32,78% right footed
MF,Jakub Moder,-5.5721555,1.2893099,3,Premier League,22,76% right footed
MF,Luka Modrić,-0.13585556,-6.678219,0,La Liga,35,89% right footed
MF,Florent Mollet,7.058838,-1.9930032,1,Ligue 1,29,86% right footed
MF,Jon Moncayola,-5.651387,7.6883492,3,La Liga,23,91% right footed
MF,Thomas Monconduit,-8.46917,0.98503107,0,Ligue 1,30,82% right footed
MF,Ángel Montoro,-2.2964823,1.2249421,3,La Liga,33,91% right footed
MF,Alberto Moreno,9.720784,2.3248022,1,La Liga,29,95% left footed
MF,Tete Morente,7.965925,2.085088,1,La Liga,24,87% right footed
MF,Manu Morlanes,-11.225228,3.6174116,3,La Liga,22,86% right footed
MF,Mason Mount,19.4057,1.4937086,2,Premier League,22,90% right footed
MF,Lucas Moura,14.045664,2.92399,2,Premier League,28,88% right footed
MF,João Moutinho,-11.981327,1.7975243,3,Premier League,34,93% right footed
MF,Samuel Moutoussamy,-21.365238,6.6009545,3,Ligue 1,24,91% left footed
MF,Toni Moya,-5.053862,4.6132755,3,La Liga,23,92% right footed
MF,Thomas Müller,20.147148,4.966305,2,Bundesliga,31,79% right footed
MF,Marshall Munetsi,-15.313906,13.594275,3,Ligue 1,25,84% right footed
MF,Iker Muniain,21.311995,5.10614,2,La Liga,28,96% right footed
MF,Yunus Musah,1.2851721,3.4894104,1,La Liga,18,88% right footed
MF,Jamal Musiala,22.768473,-0.42989194,2,Bundesliga,18,92% right footed
MF,Enock Mwepu,-3.5956132,2.0303516,1,Premier League,23,88% right footed
MF,Kévin N'Doram,-8.690559,9.751805,3,Ligue 1,25,92% right footed
MF,Marvelous Nakamba,-16.73846,8.172415,3,Premier League,27,88% left footed
MF,Nahitan Nández,3.0928638,-4.8427844,0,Serie A,25,92% right footed
MF,Loum Ndiaye,-16.516008,11.955531,3,La Liga,24,88% right footed
MF,Wilfred Ndidi,-19.15312,11.76461,3,Premier League,24,88% right footed
MF,Florian Neuhaus,-9.393363,-2.3715866,0,Bundesliga,24,78% right footed
MF,Rúben Neves,-11.378308,-1.0274756,3,Premier League,24,91% right footed
MF,Neymar,22.042631,2.9060383,2,Ligue 1,29,89% right footed
MF,Yvan Neyou,-13.87827,7.2407475,3,Ligue 1,24,91% right footed
MF,Opa Nguette,8.21197,-9.813437,1,Ligue 1,27,88% right footed
MF,Håvard Nielsen,9.510437,-10.374128,1,Bundesliga,28,69% right footed
MF,Christopher Nkunku,19.778755,-2.1871006,2,Bundesliga,23,87% right footed
MF,Lukas Nmecha,16.005928,-9.770403,1,Bundesliga,22,90% right footed
MF,Nolito,1.2642219,1.5909497,1,La Liga,34,92% right footed
MF,Arnaud Nordin,11.10179,-1.2064692,1,Ligue 1,23,56% left footed
MF,Christian Nørgaard,-18.411045,2.8819866,3,Premier League,27,84% right footed
MF,Mathias Normann,-9.408054,4.522555,3,Premier League,25,89% right footed
MF,Randy Ntekja,10.9670315,-9.32519,1,La Liga,23,87% left footed
MF,Joel Obi,-1.8871676,4.90225,3,Serie A,30,78% left footed
MF,Martin Ødegaard,16.604492,6.5083613,2,Premier League,22,92% left footed
MF,David Okereke,12.624728,-9.849353,1,Serie A,23,84% right footed
MF,Masaya Okugawa,10.092986,-11.37009,1,Bundesliga,25,64% right footed
MF,Michael Olise,18.06947,5.7214293,2,Premier League,19,86% left footed
MF,Amadou Onana,-16.721739,3.9346547,3,Ligue 1,19,85% right footed
MF,Jean Onana,-19.83735,2.0117838,3,Ligue 1,21,78% right footed
MF,Frank Onyeka,-13.262588,8.894005,3,Premier League,23,89% right footed
MF,Otávio,-17.799606,5.3906946,3,Ligue 1,27,89% right footed
MF,Remi Oudin,10.012478,-2.9351172,1,Ligue 1,24,84% left footed
MF,Azzedine Ounahi,-5.8976192,-6.970309,0,Ligue 1,21,95% right footed
MF,Mikel Oyarzabal,18.07275,-4.1712837,2,La Liga,24,88% left footed
MF,Salih Özcan,-14.883693,3.2414503,3,Bundesliga,23,80% right footed
MF,Gavi Paez,-3.5971527,-6.446611,0,La Liga,16,81% right footed
MF,Vincent Pajot,-17.797268,7.602346,3,Ligue 1,30,90% right footed
MF,Exequiel Palacios,-17.338207,-2.885295,0,Bundesliga,22,90% right footed
MF,Isaac Palazón Camacho,5.133134,0.030007692,1,La Liga,26,94% left footed
MF,Miloš Pantović,10.695774,-5.3114433,1,Bundesliga,25,92% right footed
MF,Lucas Paquetá,22.862804,-0.7328617,2,Ligue 1,23,87% left footed
MF,Daniel Parejo,0.09110157,-3.0614104,0,La Liga,32,90% right footed
MF,Thomas Partey,-9.739581,-2.1868467,0,Premier League,28,92% right footed
MF,Mario Pašalić,19.527403,-4.240471,2,Serie A,26,70% right footed
MF,Paulinho,16.07896,-4.283898,2,Bundesliga,21,91% right footed
MF,Dimitri Payet,21.524097,4.591949,2,Ligue 1,34,87% right footed
MF,Mads Pedersen,-1.1922691,2.4273016,3,Bundesliga,24,86% left footed
MF,Lorenzo Pellegrini,19.452251,0.6949535,2,Serie A,25,89% right footed
MF,Danilo Pereira,-9.905491,7.836342,3,Ligue 1,29,95% right footed
MF,Gastón Pereiro,11.2020035,-2.5523756,1,Serie A,26,84% left footed
MF,Roberto Pereyra,4.378516,-1.9531261,2,Serie A,30,84% right footed
MF,Lucas Pérez,10.947993,-3.9829376,1,La Liga,32,88% left footed
MF,Matteo Pessina,-5.228611,-3.4480119,0,Serie A,24,89% left footed
MF,Njegoš Petrović,-13.857926,8.098293,3,La Liga,22,95% right footed
MF,Jens Petter Hauge,8.414064,-1.5556473,1,Bundesliga,21,84% right footed
MF,Maximilian Philipp,12.506709,-5.507158,1,Bundesliga,27,81% right footed
MF,Kalvin Phillips,-20.18015,3.5283675,3,Premier League,25,89% right footed
MF,Tomás Pina Isla,-15.238698,9.692743,3,La Liga,33,53% left footed
MF,Yeremi Pino,14.5264845,-2.0736625,1,La Liga,18,89% right footed
MF,Marko Pjaca,8.474357,1.4904971,1,Serie A,26,90% right footed
MF,Alassane Pléa,18.485943,0.5586068,2,Bundesliga,28,88% right footed
MF,Tommaso Pobega,-6.5110207,0.8888341,3,Serie A,22,79% left footed
MF,Daniel Podence,15.160632,2.3602374,2,Premier League,25,87% right footed
MF,Paul Pogba,18.06371,7.45426,2,Premier League,28,89% right footed
MF,Pere Pons,-0.9804373,6.307578,3,La Liga,28,84% right footed
MF,Manolo Portanova,-6.175591,-11.382815,3,Serie A,21,95% right footed
MF,Portu,8.014692,-5.572744,1,La Liga,29,96% right footed
MF,Dennis Praet,10.636261,3.5501752,1,Serie A,27,91% right footed
MF,Sanjin Prcić,-8.980024,-1.623042,0,Ligue 1,27,85% right footed
MF,Nicolas de Préville,10.148741,-1.0211045,1,Ligue 1,30,82% right footed
MF,Manuel Prietl,-15.886708,9.031651,3,Bundesliga,29,71% right footed
MF,Grischa Prömel,-5.2227163,10.281339,3,Bundesliga,26,79% right footed
MF,Javi Puado,7.2768326,-2.8226368,1,La Liga,23,89% right footed
MF,Antonio Puertas,7.519797,-2.5605824,1,La Liga,29,74% right footed
MF,Christian Pulisic,14.793584,-9.370211,1,Premier League,22,80% right footed
MF,Ignacio Pussetto,14.325958,-6.424771,1,Serie A,25,91% right footed
MF,Adrien Rabiot,-19.20714,5.401383,3,Serie A,26,73% left footed
MF,Uroš Račić,-18.063498,8.619969,3,La Liga,23,86% right footed
MF,Nemanja Radoja,-8.935164,10.342628,3,La Liga,28,79% right footed
MF,Ivan Radovanović,-10.381567,12.095106,3,Serie A,32,86% right footed
MF,Rafinha,-10.461126,-9.768666,0,La Liga,28,87% left footed
MF,Ivan Rakitić,-2.8894966,-1.4199682,0,La Liga,33,88% right footed
MF,Jacob Ramsey,-6.0617833,-7.425973,0,Premier League,20,82% right footed
MF,Raphinha,18.717028,0.1021079,2,Premier League,24,90% left footed
MF,Elba Rashani,11.099453,-11.995682,1,Ligue 1,28,80% left footed
MF,Marcus Rashford,8.54966,-3.6003187,1,Premier League,23,90% right footed
MF,Milot Rashica,5.9554467,2.1716673,1,Premier League,25,81% right footed
MF,Giacomo Raspadori,13.768223,-6.9679017,1,Serie A,21,70% right footed
MF,Nathan Redmond,11.335497,3.2973375,2,Premier League,27,91% right footed
MF,Marco Reus,19.493708,-1.0947912,2,Bundesliga,32,75% right footed
MF,Elvis Rexhbeçaj,-6.4381213,8.825615,3,Bundesliga,23,79% left footed
MF,Nico Ribaudo,6.7625027,-0.29377317,1,La Liga,20,90% right footed
MF,Franck Ribéry,2.9999297,-2.3307884,0,Serie A,38,86% right footed
MF,Samuele Ricci,-15.621243,1.2544687,3,Serie A,19,90% right footed
MF,Declan Rice,-14.589222,-2.6838398,0,Premier League,22,85% right footed
MF,Richarlison,13.0114565,-9.246928,1,Premier League,24,79% right footed
MF,Marco Richter,8.941528,-6.680473,1,Bundesliga,23,76% right footed
MF,Tomás Rincón,-12.201824,7.837087,3,Serie A,33,91% right footed
MF,Luis Rioja,5.9274096,2.3279374,1,La Liga,27,91% left footed
MF,Tyler Roberts,9.387944,-5.730478,1,Premier League,22,85% right footed
MF,Rodri,-11.582351,-3.3144987,0,Premier League,25,86% right footed
MF,Rodrigo,10.358122,-4.9942436,1,Premier League,30,88% left footed
MF,Óscar Rodríguez Arnaiz,5.0481567,0.7536588,1,La Liga,23,86% right footed
MF,Dani Rodríguez,3.7796009,0.20343147,1,La Liga,33,81% right footed
MF,Guido Rodríguez,-17.249542,6.8737044,3,La Liga,27,91% right footed
MF,Oriol Romeu,-14.237908,2.8826864,3,Premier League,29,84% right footed
MF,Valentin Rongier,-13.991418,-4.5896964,0,Ligue 1,26,81% right footed
MF,Marten de Roon,-15.062723,1.9144974,3,Serie A,30,83% right footed
MF,Pablo Rosario,-11.717877,2.6478736,3,Ligue 1,24,89% right footed
MF,Nicolò Rovella,-9.145686,-7.5660214,0,Serie A,19,92% right footed
MF,Fabián Ruiz Peña,-11.035831,-5.062136,0,Serie A,25,89% left footed
MF,Georginio Rutter,15.509122,-8.1340275,1,Bundesliga,19,56% left footed
MF,Marcel Sabitzer,-6.841876,-1.6675024,0,Bundesliga,27,83% right footed
MF,Allan Saint-Maximin,13.262575,5.4978714,2,Premier League,24,89% right footed
MF,Bukayo Saka,16.757597,-3.1405807,2,Premier League,19,80% left footed
MF,Roland Sallai,13.30716,-1.9003813,1,Bundesliga,24,81% right footed
MF,Salvi,4.2827606,4.8192234,1,La Liga,30,88% right footed
MF,Diadie Samassékou,-17.016113,9.064949,3,Bundesliga,25,86% right footed
MF,Mama Samba Baldé,7.4037805,-9.981018,1,Ligue 1,25,82% right footed
MF,Albert Sambi Lokonga,-8.263259,-3.316862,0,Premier League,21,82% right footed
MF,Renato Sanches,0.52715266,-7.048998,2,Ligue 1,23,90% right footed
MF,Antonio Sánchez,-20.422789,7.548446,3,La Liga,24,82% right footed
MF,Jadon Sancho,14.725108,3.8690798,2,Premier League,21,89% right footed
MF,Leroy Sané,20.241644,0.81759894,2,Bundesliga,25,84% left footed
MF,Nicola Sansone,13.5301075,-1.3663781,2,Serie A,29,84% right footed
MF,Baptiste Santamaria,-9.670572,5.6562223,3,Ligue 1,26,93% right footed
MF,Josh Sargent,-0.86923224,5.156963,1,Premier League,21,75% right footed
MF,Ismaila Sarr,8.672658,-3.471649,1,Premier League,23,94% right footed
MF,Téji Savanier,20.601603,2.245328,2,Ligue 1,29,86% right footed
MF,Xaver Schlager,-20.31277,3.7153218,3,Bundesliga,23,71% left footed
MF,Jeffrey Schlupp,-3.8859184,1.9214567,1,Premier League,28,80% left footed
MF,Alessandro Schöpf,-4.3430514,-0.33024687,0,Bundesliga,27,74% right footed
MF,Jerdy Schouten,-10.419181,3.291151,3,Serie A,24,90% right footed
MF,Paul Seguin,-9.536451,2.2591074,3,Bundesliga,26,88% right footed
MF,Suat Serdar,-5.2798734,-9.5709915,1,Bundesliga,24,88% right footed
MF,Salva Sevilla,-0.9823993,-4.896323,0,La Liga,37,88% right footed
MF,Jonjo Shelvey,-7.3354335,9.034685,3,Premier League,29,89% right footed
MF,Adrien Silva,-15.542694,3.5885181,3,Serie A,32,81% right footed
MF,Bernardo Silva,15.52681,4.3839784,2,Premier League,26,91% left footed
MF,David Silva,17.045925,5.7210155,2,La Liga,35,87% left footed
MF,Moses Simon,13.870311,1.8190259,2,Ligue 1,26,80% right footed
MF,Ibrahima Sissoko,-3.4837434,0.593564,0,Ligue 1,23,79% right footed
MF,Moussa Sissoko,-8.4885645,5.396394,3,Premier League,31,89% right footed
MF,Ellyes Skhiri,-18.068256,10.481228,3,Bundesliga,26,89% right footed
MF,Oliver Skipp,-12.019187,0.8529947,3,Premier League,20,94% right footed
MF,Emile Smith Rowe,19.169693,-6.0422435,1,Premier League,21,82% right footed
MF,Rubén Sobrino,10.740104,-10.118432,1,La Liga,29,86% right footed
MF,Carlos Soler,11.047481,-5.1440506,1,La Liga,24,86% right footed
MF,Roberto Soriano,2.1272986,-3.8607342,0,Serie A,30,78% right footed
MF,Florian Sotoca,9.763486,-4.7277126,1,Ligue 1,30,93% right footed
MF,Tomáš Souček,-13.760898,12.966346,3,Premier League,26,86% right footed
MF,Boubakary Soumaré,-12.326784,7.8452353,3,Premier League,22,80% right footed
MF,Djibril Sow,-12.725348,3.1774015,3,Bundesliga,24,84% right footed
MF,Anton Stach,-5.4184995,-0.5402845,0,Bundesliga,22,81% right footed
MF,Kostas Stafylidis,-12.057967,13.167558,3,Bundesliga,27,76% left footed
MF,Niklas Stark,-13.997455,14.381558,3,Bundesliga,26,94% right footed
MF,Renato Steffen,2.614403,1.1211096,1,Bundesliga,29,88% left footed
MF,Calvin Stengs,10.132694,0.72593343,1,Ligue 1,22,87% left footed
MF,Angelo Stiller,-9.433294,1.7586149,3,Bundesliga,20,90% left footed
MF,Lars Stindl,11.35634,-5.8969107,1,Bundesliga,32,80% right footed
MF,Stefano Sturaro,-21.74722,8.609775,3,Serie A,28,81% right footed
MF,Denis Suárez,-5.0345244,-4.9028788,0,La Liga,27,86% right footed
MF,Kamaldeen Sulemana,22.507652,0.9858868,2,Ligue 1,19,84% right footed
MF,Mattias Svanberg,0.8925494,1.2328743,1,Serie A,22,86% right footed
MF,Dominik Szoboszlai,19.48109,4.4041166,2,Bundesliga,20,90% right footed
MF,Flavien Tait,-0.30824187,-5.523196,0,Ligue 1,28,92% right footed
MF,Adrien Tameze,-10.206384,3.86783,3,Serie A,27,86% right footed
MF,Renato Tapia,-18.769995,4.0578647,3,La Liga,26,87% right footed
MF,Florian Tardieu,-7.995781,-1.9514087,0,Ligue 1,29,85% right footed
MF,Aurélien Tchouaméni,-16.704231,-3.11333,0,Ligue 1,21,89% right footed
MF,Martin Terrier,17.462118,-6.692581,2,Ligue 1,24,92% right footed
MF,Jan Thielmann,4.120294,-6.021585,1,Bundesliga,19,90% right footed
MF,Adrien Thomasson,0.045603596,-10.811664,0,Ligue 1,27,81% right footed
MF,Morten Thorsby,-8.044282,10.694834,3,Serie A,25,84% right footed
MF,Marcus Thuram,15.57628,-7.198785,1,Bundesliga,23,84% right footed
MF,Khéphren Thuram-Ulie,-5.199685,-5.750942,0,Ligue 1,20,83% right footed
MF,Youri Tielemans,-2.5383568,-2.5011773,0,Premier League,24,81% right footed
MF,Timothy Tillman,-2.052683,2.8448439,3,Bundesliga,22,79% right footed
MF,Sandro Tonali,-4.0487647,-3.366162,0,Serie A,21,88% right footed
MF,Lucas Torreira,-8.197462,-0.6623051,0,Serie A,25,85% right footed
MF,Óliver Torres,-3.700893,-6.5061407,0,La Liga,26,93% right footed
MF,Lucas Torró,-17.540802,11.745723,3,La Liga,27,87% right footed
MF,Lucas Tousart,-17.09478,10.346535,3,Bundesliga,24,86% right footed
MF,Andros Townsend,10.947161,2.5356638,1,Premier League,30,74% left footed
MF,Boubacar Traoré,-21.076622,2.215103,3,Ligue 1,19,97% right footed
MF,Óscar Trejo,15.961182,7.763301,2,La Liga,33,93% right footed
MF,Manu Trigueros,-0.96042883,-3.8555272,0,La Liga,29,71% right footed
MF,Francisco Trincão,6.1154013,-9.434592,1,Premier League,21,91% left footed
MF,Leandro Trossard,14.771256,-0.5270244,2,Premier League,26,81% right footed
MF,Cengiz Ünder,15.780446,-1.0945201,2,Ligue 1,24,69% left footed
MF,Mark Uth,13.497089,-3.9578125,2,Bundesliga,29,87% left footed
MF,Antonio Vacca,-17.320354,2.4875066,3,Serie A,31,84% right footed
MF,Óscar Valentín,-19.259142,3.4252129,3,La Liga,26,85% right footed
MF,Federico Valverde,-6.020553,-5.461682,0,La Liga,23,93% right footed
MF,Vanderson,-2.7677505,-5.7223477,0,Ligue 1,20,82% right footed
MF,Ruben Vargas,7.679896,2.2200806,1,Bundesliga,22,84% right footed
MF,Sebastian Vasiliadis,-17.809551,9.206359,3,Bundesliga,23,81% right footed
MF,José Luis García Vayá,-11.96516,2.1513746,3,La Liga,22,94% right footed
MF,Miguel Veloso,-6.627386,-2.5645158,0,Serie A,35,76% left footed
MF,Unai Vencedor Paris,-7.4470115,6.7518163,3,La Liga,20,89% right footed
MF,Daniele Verde,16.630705,-0.78018254,2,Serie A,25,90% left footed
MF,Jordan Veretout,-2.4121327,-1.5921854,0,Serie A,28,84% right footed
MF,Marco Verratti,-12.70115,-7.8752522,0,Ligue 1,28,91% right footed
MF,Mikel Vesga,-9.05814,3.6091897,3,La Liga,28,79% left footed
MF,Aleix Vidal,-2.894707,8.501383,0,La Liga,31,91% right footed
MF,Tonny Vilhena,1.8323826,5.6522417,1,La Liga,26,86% left footed
MF,Kevin Volland,13.211148,-7.109669,1,Ligue 1,29,77% left footed
MF,Aster Vranckx,-4.9212284,-11.808282,3,Bundesliga,18,79% right footed
MF,Walace,-15.888603,3.013573,3,Serie A,26,87% right footed
MF,James Ward-Prowse,-3.3344774,-0.8067431,0,Premier League,26,93% right footed
MF,Daniel Wass,-7.157415,8.889328,3,La Liga,32,92% right footed
MF,Timothy Weah,11.802103,-0.27075133,1,Ligue 1,21,91% right footed
MF,Timo Werner,15.811275,-10.263219,1,Premier League,25,85% right footed
MF,Ashley Westwood,-6.0673923,5.484568,0,Premier League,31,94% right footed
MF,Georginio Wijnaldum,2.9973161,4.0118904,1,Ligue 1,30,88% right footed
MF,Nico Williams,6.020616,-9.680388,1,La Liga,19,78% right footed
MF,Joe Willock,-4.9769588,-10.217434,3,Premier League,21,87% right footed
MF,Patrick Wimmer,23.479885,-1.5975856,0,Bundesliga,20,78% right footed
MF,Jonas Wind,14.274774,-7.9963875,1,Bundesliga,22,85% right footed
MF,Harry Winks,-8.192543,-4.2567167,0,Premier League,25,90% right footed
MF,Florian Wirtz,19.823063,3.7580981,2,Bundesliga,18,90% right footed
MF,Yoane Wissa,14.090056,-10.518048,1,Premier League,24,88% right footed
MF,Axel Witsel,-10.911091,8.414982,3,Bundesliga,32,92% right footed
MF,Jeong Woo-yeong,9.384971,-4.203219,1,Bundesliga,21,79% right footed
MF,Xeka,-19.54602,7.615204,3,Ligue 1,26,89% right footed
MF,Granit Xhaka,-7.7051754,-3.1804793,0,Premier League,28,86% left footed
MF,Zaydou Youssouf,-16.731232,0.57549655,3,Ligue 1,22,85% left footed
MF,Denis Zakaria,-12.220085,-0.642809,3,Bundesliga,24,98% right footed
MF,Andre-Frank Zambo Anguissa,-9.339575,-7.877982,0,Serie A,25,88% right footed
MF,Oier Zarraga,-6.959167,7.8799458,3,La Liga,22,90% right footed
MF,Andi Zeqiri,11.555748,-9.851384,1,Bundesliga,22,70% left footed
MF,Piotr Zieliński,15.881944,0.9441951,2,Serie A,27,72% right footed
MF,Hakim Ziyech,20.361433,2.4670837,2,Premier League,28,88% left footed
MF,Nadir Zortea,7.8168025,5.319134,1,Serie A,22,82% right footed
MF,Martín Zubimendi,-10.68438,7.7047033,3,La Liga,22,76% right footed
MF,Szymon Żurkowski,-6.5321193,-8.424574,0,Serie A,23,82% right footed
FW,Tammy Abraham,-11.338812,-2.6765535,0,Serie A,23,88% right footed
FW,Che Adams,-9.390112,1.9229076,0,Premier League,25,89% right footed
FW,Amine Adli,11.058106,4.201388,1,Bundesliga,21,87% left footed
FW,Yacine Adli,9.611275,-1.7415569,1,Ligue 1,21,89% right footed
FW,Kevin Agudelo,6.215946,7.883453,1,Serie A,22,92% left footed
FW,Ludovic Ajorque,-6.814375,7.746645,0,Ligue 1,27,75% left footed
FW,Marc Albrighton,4.1125145,8.462477,1,Premier League,31,92% right footed
FW,Iván Alejo,9.792391,1.6405962,1,La Liga,26,93% right footed
FW,Mohamed Ali Cho,-6.135098,4.5701065,0,Ligue 1,17,74% left footed
FW,Jim Allevinah,0.2349594,1.3243009,1,Ligue 1,26,83% right footed
FW,Miguel Almirón,3.7983816,7.819123,1,Premier League,27,96% left footed
FW,Felipe Anderson,9.944052,-0.9268817,1,Serie A,28,84% right footed
FW,Sebastian Andersson,-12.5355425,6.5688725,0,Bundesliga,30,80% right footed
